input_seq_id;hit_num;accession_id;definition
100_liquor_Chelyabinsk;73;KF374892;HIV-1 isolate 12RU184c from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;74;KF374866;HIV-1 isolate 11RU10476 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;75;KF374856;HIV-1 isolate 11RU9750 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;76;JX290219;HIV-1 isolate 10RU6602 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;77;MW115498;HIV-1 isolate SUR026 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;78;HE657456;HIV-1 M:A Mn-12-A partial gag-pol gene for polyprotein, protease and reverse transcriptase region, genomic RNA
100_liquor_Chelyabinsk;79;JQ292895;"HIV-1 isolate RU_560_1125_JA from Russia gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;80;HM345538;HIV-1 isolate 03MOSR from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;81;HQ161917;HIV-1 isolate SML006 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;82;EU345875;HIV-1 isolate RUJA16 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;83;EU345691;HIV-1 isolate IR81B from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;84;EF122560;HIV-1 isolate 04CNLN69 from China gag protein (gag) and pol protein (pol) genes, partial cds
100_liquor_Chelyabinsk;85;MF403210;HIV-1 isolate A1_6155532822997478 from Spain pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;86;KJ722094;HIV-1 isolate RU_NNG549 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;87;KJ722077;HIV-1 isolate RU_NNG442 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;88;KJ722073;HIV-1 isolate RU_NNG424 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;89;KF257855;HIV-1 isolate Orb456 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;90;KF257851;HIV-1 isolate Orb445 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;91;KC340486;HIV-1 isolate 564286 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;92;KC509783;HIV-1 isolate RU_IRK035 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;93;HF679252;HIV-1 M:A1 Mn-34A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;94;JX141204;HIV-1 isolate Chu431/RU from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;95;HQ412520;HIV-1 isolate KLG073 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;96;HQ161915;HIV-1 isolate SML001 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;97;FJ822097;HIV-1 isolate 43 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;98;MK931682;HIV-1 isolate RU_ERS_0660_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;99;MK931642;HIV-1 isolate RU_ERS_0529_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;100;MK245706;HIV-1 isolate 462_TAJ from Tajikistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;101;MK002544;HIV-1 isolate 119_Krasnoyarsk from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;102;KY235854;HIV-1 isolate 15UZ16 from Uzbekistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;103;KC254601;HIV-1 isolate BLG037 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;104;JX141221;HIV-1 isolate Sam496 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;105;MW115510;HIV-1 isolate SUR046 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;106;FJ822117;HIV-1 isolate 63 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;107;MK931897;HIV-1 isolate RU_ERS_1896_2009 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;108;MK931860;HIV-1 isolate RU_ERS_1724_2008 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;109;MK931689;HIV-1 isolate RU_ERS_0686_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;110;MK931573;HIV-1 isolate RU_ERS_0319_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;111;MK589584;HIV-1 isolate KRS5415 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;112;MK029178;HIV-1 isolate 16105 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;113;MK002497;HIV-1 isolate 24_Krasnoyarsk from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;114;KR233404;HIV-1 isolate SRT042 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;115;OP330432;HIV-1 isolate RES_1389 from Belarus pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;116;OP330431;HIV-1 isolate RES_1302 from Belarus pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;117;KP659708;HIV-1 isolate RU_PRM069 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;118;KM247297;HIV-1 isolate RU_IRK_553_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;119;OM050057;HIV-1 isolate 45-261 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;120;KJ499610;HIV-1 isolate RU_KZN073 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;121;KF498455;HIV-1 isolate KZ_Man2013_110 from Kazakhstan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;122;KF374925;HIV-1 isolate 12RU45p from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;123;KF374860;HIV-1 isolate 11RU9841 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;124;KC340436;HIV-1 isolate 500659 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;125;JX290209;HIV-1 isolate 10RU6010 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;126;JQ292892;"HIV-1 isolate RU01029 from Russia gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;127;HQ161927;HIV-1 isolate SML100 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;128;FJ822105;HIV-1 isolate 51 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;129;AY829212;"HIV-1 isolate 02UZ0672 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;130;AY829206;"HIV-1 isolate 02UZ698 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;131;AY829203;"HIV-1 isolate 02UZ652 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;132;MK931831;HIV-1 isolate RU_ERS_1601_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;133;MK931815;HIV-1 isolate RU_ERS_1472_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;134;MK931793;HIV-1 isolate RU_ERS_1132_2017 from Russia pol protein (pol) and gag protein (gag) genes, partial cds >gi|1824673972|gb|MK931991.1| HIV-1 isolate RU_ERS_2439_2017 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;135;MH666620;HIV-1 isolate MOW177039 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;136;MH666537;HIV-1 isolate MOW140706 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;137;MG798954;HIV-1 isolate KYR_Bishkek51 from Kyrgyzstan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;138;KY235853;HIV-1 isolate 15UZ14 from Uzbekistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;139;KR233390;HIV-1 isolate VLD013 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;140;KF374871;HIV-1 isolate 11RU11913 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;141;KC665918;HIV-1 isolate RU_KHB051 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;142;KC509882;HIV-1 isolate RU_KHB148 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;143;KC509849;HIV-1 isolate RU_KHB039 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;144;KC509798;HIV-1 isolate RU_IRK088 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;145;EF583222;HIV-1 isolate 04SP596775 from Spain pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;146;EU345673;HIV-1 isolate IR62B from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;147;MK931837;HIV-1 isolate RU_ERS_1612_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;148;MK931776;HIV-1 isolate RU_ERS_0964_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;149;MK931471;HIV-1 isolate RU_ERS_0386_2014 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;150;MK589645;HIV-1 isolate KRS6182 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;151;MK589532;HIV-1 isolate KRS4268 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;152;MK029316;HIV-1 isolate 19315 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;153;MK029222;HIV-1 isolate 18844 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;154;MH666651;HIV-1 isolate MOW185573 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;155;MH666409;"HIV-1 isolate MOW113725 from Russia pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence"
100_liquor_Chelyabinsk;156;MH330362;HIV-1 isolate IRK029 from Russia, complete genome
100_liquor_Chelyabinsk;157;MK002554;HIV-1 isolate 137_Krasnoyarsk from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;158;MH494237;HIV-1 isolate Mn_70 from Belarus pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;159;KX432076;HIV-1 isolate MRK023 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;160;KX788815;HIV-1 isolate 755 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;161;KR233349;HIV-1 isolate VLD064 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;162;KP659715;HIV-1 isolate RU_PRM082 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;163;KP659711;HIV-1 isolate RU_PRM078 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;164;KM190962;HIV-1 strain MnObl-81 from Belarus pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;165;KJ722108;HIV-1 isolate RU_NNG564 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;166;KJ499614;HIV-1 isolate RU_KZN077 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;167;KJ499582;HIV-1 isolate RU_KZN041 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;168;KF498462;HIV-1 isolate KZ_Pav2012_118 from Kazakhstan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;169;KF374913;HIV-1 isolate 12RU746n from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;170;KF177163;HIV-1 isolate RU_KHB060 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;171;KF257873;HIV-1 isolate UL639 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;172;KC665943;HIV-1 isolate RU_KHB055 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;173;KC665929;HIV-1 isolate RU_KHB012 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;174;KC509834;HIV-1 isolate RU_IRK014 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;175;HE657493;HIV-1 M:A Mg-1-A partial gag-pol gene for polyprotein, protease and reverse transcriptase region, genomic RNA
100_liquor_Chelyabinsk;176;HQ161911;HIV-1 isolate VLD044 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;177;FJ009758;HIV-1 isolate RU_916_1063 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;178;EU345771;HIV-1 isolate RU01071 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;179;MK931969;HIV-1 isolate RU_ERS_2407_2016 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;180;MK931911;HIV-1 isolate RU_ERS_1917_2009 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;181;MK931893;HIV-1 isolate RU_ERS_1877_2010 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;182;MK931882;HIV-1 isolate RU_ERS_1865_2010 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;183;MK931851;HIV-1 isolate RU_ERS_1686_2008 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;184;MK931758;HIV-1 isolate RU_ERS_0931_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;185;MK931729;HIV-1 isolate RU_ERS_0874_2016 from Russia pol protein (pol) and gag protein (gag) genes, partial cds >gi|1824673927|gb|MK931976.1| HIV-1 isolate RU_ERS_2417_2016 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;186;MK931566;HIV-1 isolate RU_ERS_0310_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;187;MK931561;HIV-1 isolate RU_ERS_0303_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;188;MN235941;HIV-1 isolate IZH148 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;189;MN235939;HIV-1 isolate IZH145 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;190;MK589654;HIV-1 isolate KRS6191 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;191;MK589641;HIV-1 isolate KRS6178 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;192;MK589597;HIV-1 isolate KRS5723 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;193;MK589569;HIV-1 isolate KRS5399 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;194;MK589556;HIV-1 isolate KRS4967 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;195;MK029285;HIV-1 isolate 18975 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;196;MH667159;HIV-1 isolate MOW29257 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;197;MH330356;HIV-1 isolate BLG051 from Russia, complete genome
100_liquor_Chelyabinsk;198;MK245698;HIV-1 isolate 450_TAJ from Tajikistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;199;MG211630;HIV-1 isolate 14Tomsk33 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;200;MF403206;HIV-1 isolate A1_2409725640976841 from Spain pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;201;KY238350;HIV-1 isolate PRM_068_PRRT from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;202;KR233356;HIV-1 isolate VLD121 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;203;KR233355;HIV-1 isolate VLD120 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;204;KP659707;HIV-1 isolate RU_PRM068 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;205;KM247294;HIV-1 isolate RU_IRK_550_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;206;KJ722076;HIV-1 isolate RU_NNG441 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;207;KJ499590;HIV-1 isolate RU_KZN050 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;208;KF720946;HIV-1 isolate AM015_2009 from Armenia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;209;KF374887;HIV-1 isolate 12RU138c from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;210;KF374855;HIV-1 isolate 11RU9670 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;211;KC509872;HIV-1 isolate RU_KHB119 from Russia pol protein (pol) gene, partial cds
